qiskit-runtime|Tutorials and modules related to Qiskit Runtime service and programs|Qiskit-Partners|51|51|Jupyter Notebook|https://github.com/Qiskit-Partners/qiskit-runtime|1.0|Apache License 2.0
qiskit-qec|Qiskit quantum error correction framework|qiskit-community|78|78|Python|https://github.com/qiskit-community/qiskit-qec|1.0|Apache License 2.0
qiskit-braket-provider|Qiskit-Braket provider to execute Qiskit programs on quantum computing hardware devices through Amazon Braket.|qiskit-community|57|57|Python|https://github.com/qiskit-community/qiskit-braket-provider|1.0|Apache License 2.0
qiskit-app-benchmarks|Qiskit Application Benchmarks|qiskit-community|25|25|Python|https://github.com/qiskit-community/qiskit-app-benchmarks|1.0|Apache License 2.0
RFCs|RFCs for changes to Qiskit ecosystem|Qiskit|35|35||https://github.com/Qiskit/RFCs|1.0|Apache License 2.0
qiskit-certified-exam-workbook|This is the workbook I created while I was studying for the Qiskit Associate Developer exam. I hope this becomes useful to others as it was for me :)|bartubisgin|78|78|Jupyter Notebook|https://github.com/bartubisgin/qiskit-certified-exam-workbook|1.0|MIT License
qiskit-serverless|A programming model for leveraging quantum and classical resources|Qiskit|59|59|Python|https://github.com/Qiskit/qiskit-serverless|1.0|Apache License 2.0
qiskit-vscode|Simplifying Qiskit to make developing quantum circuits and applications faster|qiskit-community|60|60|HTML|https://github.com/qiskit-community/qiskit-vscode|1.0|Apache License 2.0
qiskit-advocate-test|Test questions and solutions for Qiskit advocate program application|qiskit-advocate|33|33|Jupyter Notebook|https://github.com/qiskit-advocate/qiskit-advocate-test|1.0|NO LICENSE
qiskit-api-py|A Python library for the Quantum Experience API|manuelmorgado|2|2|Python|https://github.com/manuelmorgado/qiskit-api-py|1.0|MIT License
QuantumComputingExamples|Quantum computing examples with QISKit.|mrtkp9993|78|78|Python|https://github.com/mrtkp9993/QuantumComputingExamples|1.0|GNU General Public License v3.0
MicroQiskit||qiskit-community|42|42|Jupyter Notebook|https://github.com/qiskit-community/MicroQiskit|1.0|Apache License 2.0
Quantum_Programming_Tutorial|Gamified tutorial for the QISKit quantum SDK|decodoku|102|102|Jupyter Notebook|https://github.com/decodoku/Quantum_Programming_Tutorial|1.0|Apache License 2.0
qiskit-ionq|Qiskit provider for IonQ backends|qiskit-community|41|41|Python|https://github.com/qiskit-community/qiskit-ionq|1.0|Apache License 2.0
qiskit-application-modules-demo-sessions|Demo notebooks for Qiskit application modules demo sessions (Oct 8 & 15): |qiskit-community|49|49|Jupyter Notebook|https://github.com/qiskit-community/qiskit-application-modules-demo-sessions|1.0|NO LICENSE
qiskit_sphinx_theme|A Sphinx theme and documentation guidelines for Qiskit and Qiskit Ecosystem projects|Qiskit|14|14|SCSS|https://github.com/Qiskit/qiskit_sphinx_theme|1.0|Apache License 2.0
2020|Repository with notebooks for Qiskit Challenge India 2020|Qiskit-Challenge-India|51|51|Jupyter Notebook|https://github.com/Qiskit-Challenge-India/2020|1.0|MIT License
qiskit-aakash|This repository contains a new backend which can simulate noisy quantum logic circuits using the density matrix formalism.|indian-institute-of-science-qc|29|29|Python|https://github.com/indian-institute-of-science-qc/qiskit-aakash|1.0|Apache License 2.0
qiskit-swift|Qiskit in swift|qiskit-community|39|39|Swift|https://github.com/qiskit-community/qiskit-swift|1.0|Apache License 2.0
qiskit-bot|Github bot to automate various aspects of qiskit development|Qiskit|18|18|Python|https://github.com/Qiskit/qiskit-bot|1.0|Apache License 2.0
quantum-neural-network|Qiskit Hackathon Korea 2021 Community Choice Award Winner : Exploring Hybrid quantum-classical Neural Networks with PyTorch and Qiskit|yh08037|65|65|Jupyter Notebook|https://github.com/yh08037/quantum-neural-network|1.0|NO LICENSE
ShorAlgQiskit|This project implements Shor's Algorithm in IBM's Qiskit SDK in simulation, to link with the simulators from IBM Q Experience. It was done in the Quantum Information Project Course (AP3421) at TU Delft in the 2nd Quarter of 2018/2019. Authors: Rui Maia and Tiago Leão|ttlion|62|62|Python|https://github.com/ttlion/ShorAlgQiskit|1.0|NO LICENSE
qgss-2024|Qiskit Global Summer School 2024: The Path to Utility|qiskit-community|33|33|Jupyter Notebook|https://github.com/qiskit-community/qgss-2024|1.0|Apache License 2.0
circuit-knitting-toolbox|Tools for knitting quantum circuits with Qiskit|Qiskit-Extensions|70|70|Python|https://github.com/Qiskit-Extensions/circuit-knitting-toolbox|1.0|Apache License 2.0
Qiskit-Hackathon-BCN|The Qiskit Hackathon Barcelona is an immersive competition featuring live engagement, teamwork, and mentorship by expert researchers, developers and advocates. Participants will have near 24 hours to work in teams to develop solutions to problems in the field of quantum computing and present it to a panel of judges.|QuantumBarcelona|19|19|Jupyter Notebook|https://github.com/QuantumBarcelona/Qiskit-Hackathon-BCN|1.0|NO LICENSE
qiskit-aqt-provider|Qiskit provider for AQT backends.|qiskit-community|27|27|Python|https://github.com/qiskit-community/qiskit-aqt-provider|1.0|Apache License 2.0
dwave-qiskit-plugin|D-Wave Ocean plugin for IBM Qiskit.|dwavesystems|31|31|Python|https://github.com/dwavesystems/dwave-qiskit-plugin|1.0|Apache License 2.0
ecosystem|The Ecosystem consists of projects, tools, utilities, libraries and tutorials from a broad community of developers and researchers. The goal of the Ecosystem is to recognize, support and accelerate development of quantum technologies using Qiskit.|Qiskit|94|94|Python|https://github.com/Qiskit/ecosystem|1.0|Apache License 2.0
web-components|Qiskit Web Components|Qiskit|21|21|TypeScript|https://github.com/Qiskit/web-components|1.0|MIT License
qiskit4devs-workshop-notebooks|Jupyter notebooks containing guided exercises for developers learining quantum computing with Qiskit.|JavaFXpert|16|16|Jupyter Notebook|https://github.com/JavaFXpert/qiskit4devs-workshop-notebooks|1.0|NO LICENSE
qiskit-chemistry||chunfuchen|3|3|Python|https://github.com/chunfuchen/qiskit-chemistry|1.0|Apache License 2.0
Qiskit-Global-Summer-School-2024||Aaliyah6529|29|29||https://github.com/Aaliyah6529/Qiskit-Global-Summer-School-2024|1.0|NO LICENSE
qiskit-ibm-experiment|Allows accessing the IBM Quantum experiment database.|Qiskit-Extensions|10|10|Python|https://github.com/Qiskit-Extensions/qiskit-ibm-experiment|1.0|Apache License 2.0
qiskit-hackathon-korea-22||qiskit-community|35|35|Jupyter Notebook|https://github.com/qiskit-community/qiskit-hackathon-korea-22|1.0|NO LICENSE
qiskit-cold-atom|Tools to control cold-atom-based quantum simulators and quantum computers.|qiskit-community|28|28|Python|https://github.com/qiskit-community/qiskit-cold-atom|1.0|Apache License 2.0
qiskit-pocket-guide|Code from the Qiskit Pocket Guide book|qiskit-community|22|22|Jupyter Notebook|https://github.com/qiskit-community/qiskit-pocket-guide|1.0|Apache License 2.0
qiskit-quantinuum-provider|Qiskit provider for Quantinuum backends.|qiskit-community|22|22|Python|https://github.com/qiskit-community/qiskit-quantinuum-provider|1.0|Apache License 2.0
quantum-prototype-template|A template repository for generating new quantum prototypes based on Qiskit|qiskit-community|40|40|Python|https://github.com/qiskit-community/quantum-prototype-template|1.0|Apache License 2.0
qiskit-neko|An integration test suite for Qiskit|Qiskit|10|10|Python|https://github.com/Qiskit/qiskit-neko|1.0|Apache License 2.0
qiskit-aqua-interfaces|qiskit-aqua-interfaces provides command-line and graphical interfaces for executing experiments using Qiskit Aqua.|qiskit-community|17|17|Python|https://github.com/qiskit-community/qiskit-aqua-interfaces|1.0|Apache License 2.0
qiskit-nature-pyscf|Documentation at https://qiskit-community.github.io/qiskit-nature-pyscf/|qiskit-community|18|18|Python|https://github.com/qiskit-community/qiskit-nature-pyscf|1.0|Apache License 2.0
mitiq|Mitiq is an open source toolkit for implementing error mitigation techniques on most current intermediate-scale quantum computers.|unitaryfund|349|349|Python|https://github.com/unitaryfund/mitiq|1.0|GNU General Public License v3.0
QuantumComputing|Collection of Tutorials and other Quantum Computer programming related things. |Sentdex|136|136|Jupyter Notebook|https://github.com/Sentdex/QuantumComputing|1.0|MIT License
qiskit-qcgpu-provider|A provider which allows Qiskit to use the QCGPU simulator|qiskit-community|25|25|Python|https://github.com/qiskit-community/qiskit-qcgpu-provider|1.0|Apache License 2.0
Quantum-Computing-in-Practice-with-Qiskit-and-IBM-Quantum-Experience|Quantum Computing in Practice with Qiskit and IBM Quantum Experience, published by Packt|PacktPublishing|50|50|Python|https://github.com/PacktPublishing/Quantum-Computing-in-Practice-with-Qiskit-and-IBM-Quantum-Experience|1.0|MIT License
qRNG|A quantum random number generator using IBM's QISKit.|ozaner|62|62|Python|https://github.com/ozaner/qRNG|1.0|GNU General Public License v3.0
community.qiskit.org|Home of the Qiskit Community|qiskit-community|12|12|HTML|https://github.com/qiskit-community/community.qiskit.org|1.0|NO LICENSE
qiskit-jku-provider|A local provider which allows Qiskit to use a decision-diagrams quantum simulator from JKU|qiskit-community|19|19|C++|https://github.com/qiskit-community/qiskit-jku-provider|1.0|Apache License 2.0
bosonic-qiskit|Extension of Qiskit to support hybrid boson-qubit simulations for the NQI C2QA effort.|C2QA|45|45|Jupyter Notebook|https://github.com/C2QA/bosonic-qiskit|1.0|"BSD 2-Clause ""Simplified"" License"
pytket-qiskit|pytket-qiskit, extensions for pytket quantum SDK |CQCL|14|14|Python|https://github.com/CQCL/pytket-qiskit|1.0|Apache License 2.0
qiskit-workshop||mtreinish|18|18|Jupyter Notebook|https://github.com/mtreinish/qiskit-workshop|1.0|NO LICENSE
QRL|"GitHub repo for Qiskit Hackathon ""Quantum Reinforcement Learning"" project"|LauraGentini|27|27|Jupyter Notebook|https://github.com/LauraGentini/QRL|1.0|NO LICENSE
qiskit-fall-fest-peru-2022|Qiskit Fall Fest Peru 2022: Primera Escuela de Computación Cuántica|clausia|24|24|Jupyter Notebook|https://github.com/clausia/qiskit-fall-fest-peru-2022|1.0|Apache License 2.0
qiskit-hackathon-korea-21|A repository for Qiskit Hackathon Korea (February 16-19, 2021)|qiskit-community|33|33||https://github.com/qiskit-community/qiskit-hackathon-korea-21|1.0|NO LICENSE
Qiskit-Metal-to-Litho|From Qiskit Metal to pattern generation to real nanofabrication demo. Here, quantum devices on a chip are patterned via direct-write electron-beam lithography in a nanofabrication facility. Written & patterned by Onri Jay Benally, an Indigenous American quantum hardware engineer.|OJB-Quantum|32|32|Jupyter Notebook|https://github.com/OJB-Quantum/Qiskit-Metal-to-Litho|1.0|Creative Commons Attribution 4.0 International
learning-quantum|Study resources for learning quantum computing|lynnlangit|138|138|Jupyter Notebook|https://github.com/lynnlangit/learning-quantum|1.0|Apache License 2.0
qgss-2023|All things Qiskit Global Summer School 2023: Theory to Implementation - Lecture notes, Labs and Solutions |qiskit-community|91|91|Jupyter Notebook|https://github.com/qiskit-community/qgss-2023|1.0|NO LICENSE
Qiskit-for-GameDev|Tools for making game with IBM Qiskit|HuangJunye|21|21|Lua|https://github.com/HuangJunye/Qiskit-for-GameDev|1.0|NO LICENSE
qiskit-hackathon-taiwan-20||qiskit-community|32|32||https://github.com/qiskit-community/qiskit-hackathon-taiwan-20|1.0|NO LICENSE
Quantum_Computing_Workshop_2020|QuBit - a bit of quantum computing with Qiskit - a kit for quantum computing|mnp-club|46|46|Jupyter Notebook|https://github.com/mnp-club/Quantum_Computing_Workshop_2020|1.0|NO LICENSE
QiskitFlow|QiskitFlow. Framework for reproducible quantum experiments|IceKhan13|10|10|JavaScript|https://github.com/IceKhan13/QiskitFlow|1.0|Apache License 2.0
Qiskit-Certification-Guide|This contains jupyter notebooks with examples for each section  which would be quite helful.|dimple12M|10|10|Jupyter Notebook|https://github.com/dimple12M/Qiskit-Certification-Guide|1.0|GNU General Public License v3.0
qiskit-shors|Shor's Algorithm for factoring large integers using combination of Classical and Quantum Computing Algorithms|olekssy|16|16|Python|https://github.com/olekssy/qiskit-shors|1.0|MIT License
QArithmetic|Arithmetic library for IBM Qiskit|hkhetawat|35|35|HTML|https://github.com/hkhetawat/QArithmetic|1.0|Apache License 2.0
qiskit-alice-bob-provider|Qiskit provider to execute quantum circuits on Alice & Bob cat qubits|Alice-Bob-SW|21|21|Python|https://github.com/Alice-Bob-SW/qiskit-alice-bob-provider|1.0|Apache License 2.0
QizGloria|Qiskit Camp Europe 2019 (winning project)|BoschSamuel|31|31|Jupyter Notebook|https://github.com/BoschSamuel/QizGloria|1.0|NO LICENSE
Teach-Me-Quantum|⚛ 10 week Practical Course on Quantum Information Science and Quantum Computing - with Qiskit and IBMQX|msramalho|151|151|Jupyter Notebook|https://github.com/msramalho/Teach-Me-Quantum|1.0|NO LICENSE
quantum-ugly-duckling|Qiskit Hackathon Project|rochisha0|16|16|Jupyter Notebook|https://github.com/rochisha0/quantum-ugly-duckling|1.0|Apache License 2.0
qamp-spring-21|Qiskit advocate mentorship program (QAMP) spring 21 cohort|qiskit-advocate|42|42||https://github.com/qiskit-advocate/qamp-spring-21|1.0|NO LICENSE
qiskit-quantum-knn|A pure quantum knn classifier for a gated quantum computer.|GroenteLepel|21|21|Python|https://github.com/GroenteLepel/qiskit-quantum-knn|1.0|Apache License 2.0
QiskitML|Machine learning with Qiskit|amyami187|7|7|Jupyter Notebook|https://github.com/amyami187/QiskitML|1.0|NO LICENSE
pyRiemann-qiskit|A library for machine learning and quantum programming based on pyRiemann and Qiskit projects|pyRiemann|21|21|Python|https://github.com/pyRiemann/pyRiemann-qiskit|1.0|"BSD 3-Clause ""New"" or ""Revised"" License"
qiskit-dell-runtime|Qiskit Dell Runtime is a Qiskit Runtime platform that can execute classical-quantum code on both local and on-premise environments. With this platform, hybrid classical-quantum code bundle can be developed and executed. Powered by Qiskit Runtime API, this execution model provides close-integration of classical and quantum execution.|qiskit-community|27|27|Python|https://github.com/qiskit-community/qiskit-dell-runtime|1.0|Apache License 2.0
quantuminspire|Quantum Inspire SDK|QuTech-Delft|62|62|Python|https://github.com/QuTech-Delft/quantuminspire|1.0|Apache License 2.0
qiskit-qubit-reuse|A Qiskit transpiler stage plugin to enable qubit reuse via mid-circuit measurement and reset.|qiskit-community|14|14|Python|https://github.com/qiskit-community/qiskit-qubit-reuse|1.0|Apache License 2.0
coding-with-qiskit|Material for Coding with Qiskit 1.x|derek-wang-ibm|14|14|Jupyter Notebook|https://github.com/derek-wang-ibm/coding-with-qiskit|1.0|Apache License 2.0
qiskit_rng|Quantum random number generator with CQC extractor|qiskit-community|16|16|Python|https://github.com/qiskit-community/qiskit_rng|1.0|Apache License 2.0
qiskit-summer-jam-20||qiskit-community|13|13||https://github.com/qiskit-community/qiskit-summer-jam-20|1.0|NO LICENSE
IBM-Qiskit-Certification-Exam-Prep|IBM Qiskit Exam Preparation pointers & Resources|pratjz|23|23|Jupyter Notebook|https://github.com/pratjz/IBM-Qiskit-Certification-Exam-Prep|1.0|NO LICENSE
NUS-Qiskit-Workshop|Information for NUS Qiskit Workshop (18-20 May 2020)|HuangJunye|11|11|Jupyter Notebook|https://github.com/HuangJunye/NUS-Qiskit-Workshop|1.0|Apache License 2.0
dc-qiskit-qml|Quantum Machine Learning algorithms|carstenblank|14|14|Python|https://github.com/carstenblank/dc-qiskit-qml|1.0|Apache License 2.0
qiskit-camp-africa-19|Qiskit Camp Africa - December 11-14, 2019|qiskit-community|15|15||https://github.com/qiskit-community/qiskit-camp-africa-19|1.0|NO LICENSE
